--ROW 5 HEIGHT: 45
--COL C WIDTH: 200
A1	1
A2	=(SUM A1 2)
A3	=(SUM A2 3)
A4	=(SUM A3 4)
A5	=(SUM A4 5)
A6	=(SUM A5 6)
A7	=(SUM A6 7)
A8	=(SUM A7 8)
A9	=(SUM A8 9)
A10	=(SUM A9 10)
A11	=(SUM A10 11)
A12	=(SUM A11 12)
A13	=(SUM A12 13)
A14	=(SUM A13 14)
A15	=(SUM A14 15)
A16	=(SUM A15 16)
A17	=(SUM A16 17)
A18	=(SUM A17 18)
A19	=(SUM A18 19)
A20	=(SUM A19 20)
A21	=(SUM A20 21)
A22	=(SUM A21 22)
A23	=(SUM A22 23)
A24	=(SUM A23 24)
A25	=(SUM A24 25)
A26	=(SUM A25 26)
A27	=(SUM A26 27)
A28	=(SUM A27 28)
A29	=(SUM A28 29)
A30	=(SUM A29 30)
A31	=(SUM A30 31)
A32	=(SUM A31 32)
A33	=(SUM A32 33)
A34	=(SUM A33 34)
A35	=(SUM A34 35)
A36	=(SUM A35 36)
A37	=(SUM A36 37)
A38	=(SUM A37 38)
A39	=(SUM A38 39)
A40	=(SUM A39 40)
A41	=(SUM A40 41)
A42	=(SUM A41 42)
A43	=(SUM A42 43)
A44	=(SUM A43 44)
A45	=(SUM A44 45)
A46	=(SUM A45 46)
A47	=(SUM A46 47)
A48	=(SUM A47 48)
A49	=(SUM A48 49)
A50	=(SUM A49 50)
